ID,X,Y,Z
100648,586323.69,4475800.348,0.474
100649,586322.921,4475800.425,0.596
100650,586321.991,4475800.415,0.707
100651,586321.064,4475800.393,0.811
100652,586320.266,4475800.427,0.932
100653,586319.385,4475800.408,1.042
100654,586318.641,4475800.45,1.137
100655,586317.887,4475800.4,1.221
100656,586317.242,4475800.442,1.31
100657,586316.495,4475800.535,1.384
100658,586315.785,4475800.601,1.477
100659,586315.05,4475800.473,1.566
100660,586314.164,4475800.522,1.651
100661,586313.466,4475800.574,1.736
100662,586313.06,4475800.528,1.792
100663,586312.832,4475800.477,1.816
100664,586312.421,4475800.554,1.852
100665,586311.746,4475800.586,1.916
100666,586311.024,4475800.66,1.976
100667,586310.372,4475800.722,2.045
100668,586309.585,4475800.742,2.085
100669,586308.753,4475800.698,2.153
100670,586308.035,4475800.613,2.217
100671,586307.293,4475800.533,2.283
100672,586306.481,4475800.47,2.33
100673,586305.694,4475800.33,2.391
100674,586304.827,4475800.21,2.428
100675,586304.011,4475800.013,2.504
100676,586303.226,4475799.852,2.545
100677,586302.426,4475799.764,2.6
100678,586301.622,4475799.711,2.634
100679,586300.812,4475799.581,2.663
100680,586300.117,4475799.484,2.691
100681,586299.552,4475799.343,2.697
100682,586299.455,4475799.343,2.68
100683,586299.467,4475799.291,2.676
100684,586299.455,4475799.348,2.677
100685,586299.447,4475799.42,2.664
100686,586299.458,4475799.369,2.663
100687,586299.465,4475799.326,2.658
100688,586299.288,4475799.261,2.676
100689,586298.805,4475799.234,2.691
100690,586298.062,4475799.341,2.719
100691,586297.238,4475799.493,2.741
100692,586296.346,4475799.587,2.748
100693,586295.432,4475799.611,2.757
100694,586294.576,4475799.699,2.754
100695,586293.684,4475799.762,2.764
100696,586292.8,4475799.752,2.771
100697,586291.893,4475799.634,2.747
100698,586290.866,4475799.418,2.729
100699,586289.911,4475799.183,2.701
100700,586288.989,4475798.915,2.681
100701,586287.984,4475798.905,2.646
100702,586287.001,4475798.911,2.62
100703,586286.015,4475798.946,2.635
100704,586284.956,4475799.099,2.576
100705,586283.971,4475799.204,2.533
100706,586283.097,4475799.411,2.517
100707,586282.168,4475799.445,2.472
100708,586281.242,4475799.573,2.446
100709,586280.341,4475799.545,2.378
100710,586279.36,4475799.586,2.343
100711,586278.314,4475799.571,2.283
100712,586277.288,4475799.455,2.278
100713,586276.215,4475799.361,2.196
100714,586275.249,4475799.198,2.147
100715,586274.293,4475799.097,2.125
100716,586273.307,4475798.999,2.09
100717,586272.499,4475799.058,2.069
100718,586271.623,4475799.091,2.067
100719,586270.684,4475799.187,2.041
100720,586269.768,4475799.257,2.02
100721,586268.862,4475799.448,1.997
100722,586268.037,4475799.581,1.972
100723,586267.168,4475799.653,1.96
100724,586266.186,4475799.794,1.947
100725,586265.139,4475799.879,1.913
100726,586264.192,4475800.079,1.888
100727,586263.248,4475800.128,1.864
100728,586262.275,4475800.235,1.863
100729,586261.264,4475800.293,1.868
100730,586260.289,4475800.32,1.871
100731,586259.36,4475800.376,1.882
100732,586258.474,4475800.386,1.889
100733,586257.515,4475800.408,1.905
100734,586256.542,4475800.373,1.92
100735,586255.518,4475800.346,1.909
100736,586254.56,4475800.282,1.915
100737,586253.547,4475800.285,1.92
100738,586252.669,4475800.164,1.952
100739,586251.723,4475800.17,1.974
100740,586250.699,4475800.007,1.982
100741,586249.711,4475800.004,2.023
100742,586248.772,4475800.071,2.038
100743,586247.914,4475800.12,2.056
100744,586246.993,4475800.302,2.084
100745,586246.129,4475800.489,2.128
100746,586245.263,4475800.711,2.158
100747,586244.323,4475800.946,2.15
100748,586243.45,4475801.147,2.18
100749,586242.626,4475801.283,2.212
100750,586241.663,4475801.328,2.24
100751,586240.752,4475801.073,2.271
100752,586239.852,4475800.947,2.312
100753,586239.059,4475800.78,2.338
100754,586238.503,4475800.694,2.477
100755,586237.922,4475800.397,2.551
100756,586237.657,4475800.21,2.569
100757,586237.659,4475800.252,2.571
100758,586237.666,4475800.269,2.574
100759,586237.666,4475800.292,2.587
100760,586237.666,4475800.28,2.578
